City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,31.66,86,40,25.32,shower snow
1,Faya,SA,18.3851,42.4509,69.91,49,95,3.83,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,27.63,few clouds
3,Jamestown,US,42.097,-79.2353,81.95,63,75,17.27,broken clouds
4,Namibe,AO,-15.1961,12.1522,63.36,85,1,3.29,clear sky
5,Khatanga,RU,71.9667,102.5,52.56,63,100,8.88,overcast clouds
6,Nikolskoye,RU,59.7035,30.7861,73.29,72,0,2.04,clear sky
7,Rio Formoso,BR,-8.6636,-35.1586,76.84,81,89,11.1,overcast clouds
8,Hilo,US,19.7297,-155.09,78.28,100,75,4.61,mist
9,Atuona,PF,-9.8,-139.0333,77.31,74,12,16.11,few clouds
10,Vaini,TO,-21.2,-175.2,68.16,94,20,3.44,few clouds
11,Tiksi,RU,71.6872,128.8694,41.11,83,53,11.61,broken clouds
12,Puerto Leguizamo,CO,-0.1934,-74.7819,77.49,76,99,2.39,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,45.81,74,57,0.54,broken clouds
14,Witbank,ZA,-25.8713,29.2332,58.53,44,96,1.5,overcast clouds
15,Sabha,LY,27.0377,14.4283,89.82,15,0,9.86,clear sky
16,Aklavik,CA,68.2191,-135.0107,57.2,88,75,4.61,shower rain
17,Tazovskiy,RU,67.4667,78.7,43.56,87,100,2.8,overcast clouds
18,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.25,80,75,27.63,broken clouds
19,Adolfo Lopez Mateos,MX,28.4667,-107.3,85.14,24,6,10.4,clear sky
20,Luau,AO,-10.7073,22.2247,75.9,30,56,3.47,broken clouds
21,Port Alfred,ZA,-33.5906,26.891,58.21,70,0,2.33,clear sky
22,Rikitea,PF,-23.1203,-134.9692,74.53,75,45,13.96,scattered clouds
23,Upernavik,GL,72.7868,-56.1549,47.34,84,100,8.46,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,38.71,84,0,3.18,clear sky
25,Broome,US,42.2506,-75.833,91.69,49,0,18.41,clear sky
26,Avarua,CK,-21.2078,-159.775,71.65,73,75,11.5,light rain
27,Carnarvon,AU,-24.8667,113.6333,64.72,69,57,16.6,broken clouds
28,Provideniya,RU,64.3833,-173.3,40.55,75,100,10.31,overcast clouds
29,Yendi,GH,9.4427,-0.0099,82.11,60,94,1.28,overcast clouds
30,Cabot,US,34.9745,-92.0165,98.1,45,17,4.61,few clouds
31,Yima,CN,34.7381,111.8839,76.15,62,70,5.26,broken clouds
32,Saint Anthony,US,45.0205,-93.218,83.88,39,0,20.71,clear sky
33,Natchitoches,US,31.7668,-93.1335,85.05,40,79,8.28,broken clouds
34,Kloulklubed,PW,7.0419,134.2556,82.42,73,100,2.98,moderate rain
35,Muana,BR,-1.5283,-49.2167,92.34,42,24,1.9,few clouds
36,Sur,OM,22.5667,59.5289,88.0,67,97,12.24,overcast clouds
37,Lebu,CL,-37.6167,-73.65,53.53,77,91,7.07,overcast clouds
38,Ketchikan,US,55.3422,-131.6461,55.87,88,100,5.75,overcast clouds
39,Geraldton,AU,-28.7667,114.6,60.96,64,45,11.45,scattered clouds
40,Clyde River,CA,70.4692,-68.5914,41.23,93,100,13.8,light rain
41,Vardo,NO,70.3705,31.1107,57.18,94,0,6.91,clear sky
42,Fortuna,US,40.5982,-124.1573,58.66,81,76,6.85,broken clouds
43,Nanortalik,GL,60.1432,-45.2371,52.34,73,5,14.5,clear sky
44,Albany,US,42.6001,-73.9662,92.68,55,28,4.0,scattered clouds
45,Barrow,US,71.2906,-156.7887,44.62,76,0,24.16,clear sky
46,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,55,14.72,light rain
47,Hamilton,US,39.1834,-84.5333,89.26,56,40,12.66,haze
48,Lompoc,US,34.6391,-120.4579,75.34,77,40,6.91,scattered clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,85,8.01,overcast clouds
50,Condado,CU,21.8767,-79.8403,89.85,54,5,6.13,clear sky
51,Victoria,HK,22.2855,114.1577,86.38,77,0,3.0,clear sky
52,Kosonsoy,UZ,41.2561,71.5508,77.56,19,0,8.08,clear sky
53,Bukoba,TZ,-1.3317,31.8122,71.58,68,20,0.0,few clouds
54,Bluff,NZ,-46.6,168.3333,45.57,84,87,8.9,overcast clouds
55,Fairbanks,US,64.8378,-147.7164,62.49,67,75,5.75,broken clouds
56,Codrington,AU,-38.2667,141.9667,47.41,86,19,13.0,few clouds
57,Tuatapere,NZ,-46.1333,167.6833,43.54,90,96,3.47,overcast clouds
58,Karratha,AU,-20.7377,116.8463,70.16,87,0,6.87,clear sky
59,Papara,BR,-3.9839,-38.7273,83.95,71,80,7.45,broken clouds
60,Chuy,UY,-33.6971,-53.4616,60.98,81,100,7.87,overcast clouds
61,Butaritari,KI,3.0707,172.7902,80.82,74,88,4.65,overcast clouds
62,Oksfjord,NO,70.2396,22.3479,60.87,98,100,8.14,light rain
63,Tasiilaq,GL,65.6145,-37.6368,42.96,75,89,1.41,overcast clouds
64,Thompson,CA,55.7435,-97.8558,62.76,88,75,8.05,broken clouds
65,Bethel,US,41.3712,-73.414,94.35,66,40,9.22,scattered clouds
66,Bredasdorp,ZA,-34.5322,20.0403,48.74,86,42,1.79,scattered clouds
67,Pangkalanbuun,ID,-2.6833,111.6167,73.31,99,53,1.88,light rain
68,Yinchuan,CN,38.4681,106.2731,66.31,61,100,6.53,overcast clouds
69,Port Hardy,CA,50.6996,-127.4199,55.58,88,100,3.44,overcast clouds
70,Tura,IN,25.5198,90.2201,75.43,96,100,4.03,overcast clouds
71,Dikson,RU,73.5069,80.5464,43.03,92,100,21.0,light rain
72,Tiarei,PF,-17.5333,-149.3333,73.42,75,13,12.03,light rain
73,Vung Tau,VN,10.346,107.0843,77.59,87,89,7.05,overcast clouds
74,Bisert,RU,56.8617,59.0523,53.58,94,74,2.95,broken clouds
75,Shimoda,JP,34.6667,138.95,76.1,86,89,6.78,overcast clouds
76,Berlevag,NO,70.8578,29.0864,64.2,88,100,4.61,light rain
77,Inuvik,CA,68.3499,-133.7218,56.16,97,100,3.44,light rain
78,Rocha,UY,-34.4833,-54.3333,58.98,69,83,8.46,broken clouds
79,Fredericksburg,US,38.3032,-77.4605,93.02,58,40,6.91,scattered clouds
80,Bardiyah,LY,31.7561,25.0865,77.31,61,0,13.04,clear sky
81,Gerede,TR,40.8008,32.1969,53.64,85,0,2.57,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,14.97,light rain
83,Tual,ID,-5.6667,132.75,78.53,73,65,17.52,broken clouds
84,Cape Town,ZA,-33.9258,18.4232,56.12,83,0,5.75,clear sky
85,Cidreira,BR,-30.1811,-50.2056,68.9,81,97,5.68,overcast clouds
86,Qaanaaq,GL,77.484,-69.3632,45.1,70,100,5.08,overcast clouds
87,Waipawa,NZ,-41.4122,175.5153,44.76,71,100,16.35,overcast clouds
88,San Buenaventura,MX,27.0833,-101.5333,91.47,45,1,9.04,clear sky
89,Zyryanka,RU,65.75,150.85,47.28,73,6,3.13,clear sky
90,Del Rio,US,29.3627,-100.8968,95.23,55,40,13.8,scattered clouds
91,Mabaruma,GY,8.2,-59.7833,83.41,79,22,5.59,few clouds
92,Acajutla,SV,13.5928,-89.8275,86.23,63,98,7.76,overcast clouds
93,Byron Bay,AU,-28.65,153.6167,58.96,77,97,19.26,light rain
94,Tornio,FI,65.8481,24.1466,66.22,83,98,6.2,overcast clouds
95,Klyuchi,RU,52.2667,79.1667,70.9,57,100,11.27,overcast clouds
96,Morristown,US,36.214,-83.2949,85.37,71,75,12.66,broken clouds
97,La Ronge,CA,55.1001,-105.2842,62.85,59,75,19.57,broken clouds
98,Mtimbira,TZ,-8.7833,36.35,69.53,76,86,1.68,overcast clouds
99,Diffa,NE,13.3154,12.6113,87.21,46,49,5.03,scattered clouds
100,Tupiza,BO,-21.45,-65.7167,74.05,9,54,17.83,broken clouds
101,Hofn,IS,64.2539,-15.2082,55.42,76,75,5.75,broken clouds
102,Songjianghe,CN,42.1859,127.479,59.45,98,100,0.56,overcast clouds
103,Mataura,NZ,-46.1927,168.8643,40.08,96,93,1.19,overcast clouds
104,Cajnice,BA,43.5575,19.0711,69.51,54,0,0.74,clear sky
105,Changji,CN,44.0167,87.3167,79.59,25,0,6.71,clear sky
106,Araouane,ML,18.9048,-3.5265,97.32,29,65,5.14,broken clouds
107,Jalingo,NG,8.8833,11.3667,76.12,88,85,3.94,overcast clouds
108,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.09,20,14,6.55,few clouds
109,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,9.22,few clouds
110,Bathsheba,BB,13.2167,-59.5167,88.41,81,20,25.32,few clouds
111,Dawson Creek,CA,55.7666,-120.2362,69.44,35,0,21.85,clear sky
112,Mana,GF,5.6592,-53.7767,83.1,74,53,8.32,broken clouds
113,Talnakh,RU,69.4865,88.3972,52.21,87,33,5.93,light rain
114,Busselton,AU,-33.65,115.3333,57.99,78,68,11.63,broken clouds
115,Nalut,LY,30.3333,10.85,92.73,16,1,8.52,clear sky
116,Itarema,BR,-2.9248,-39.9167,85.17,61,78,16.8,broken clouds
117,Batemans Bay,AU,-35.7167,150.1833,53.1,86,91,2.28,overcast clouds
118,Athabasca,CA,54.7169,-113.2854,72.01,43,63,10.2,broken clouds
119,Etawah,IN,26.7769,79.0239,85.69,70,100,4.34,overcast clouds
120,Sarkand,KZ,45.41,79.9186,74.8,29,0,8.21,clear sky
121,Cherskiy,RU,68.75,161.3,36.34,84,23,10.92,few clouds
122,Pangnirtung,CA,66.1451,-65.7125,42.8,100,100,9.22,light rain
123,Meulaboh,ID,4.1363,96.1285,77.81,83,100,4.92,overcast clouds
124,Borisoglebskiy,RU,57.2586,39.1508,65.53,61,92,10.42,overcast clouds
125,Umm Lajj,SA,25.0213,37.2685,87.66,55,3,8.48,clear sky
126,Buckeye,US,33.3703,-112.5838,102.97,31,90,10.36,overcast clouds
127,Mnogovershinnyy,RU,53.9353,139.9242,51.08,98,100,3.94,overcast clouds
128,Klaksvik,FO,62.2266,-6.589,50.92,83,51,8.95,broken clouds
129,Hobart,AU,-42.8794,147.3294,38.26,91,1,3.0,clear sky
130,Petrolina,BR,-9.3986,-40.5008,86.05,37,20,13.8,light rain
131,Chikwawa,MW,-16.0335,34.8009,76.03,41,89,6.29,overcast clouds
132,Panaba,MX,21.2833,-88.2667,98.08,33,25,7.61,scattered clouds
133,Melipilla,CL,-33.7,-71.2167,54.41,48,0,3.4,clear sky
134,Baturaja,ID,-4.1333,104.1667,72.9,98,70,2.66,broken clouds
135,Soe,ID,-9.8607,124.284,62.33,94,73,3.4,broken clouds
136,Bondo,CD,3.8146,23.6866,70.0,99,100,2.98,light rain
137,Jiangyou,CN,31.7667,104.7167,73.31,93,100,4.0,moderate rain
138,Kangaatsiaq,GL,68.3065,-53.4641,42.6,97,100,13.76,overcast clouds
139,Grindavik,IS,63.8424,-22.4338,57.15,87,75,10.36,broken clouds
140,Kavieng,PG,-2.5744,150.7967,81.21,79,100,10.25,overcast clouds
141,Lamesa,US,32.7376,-101.951,94.32,33,53,10.71,broken clouds
142,Cartagena,CO,10.3997,-75.5144,85.62,74,40,4.61,scattered clouds
143,Yantai,CN,37.5333,121.4,72.32,79,0,6.13,clear sky
144,Cordeiro,BR,-22.0286,-42.3608,76.51,47,32,5.7,scattered clouds
145,Kapaa,US,22.0752,-159.319,80.19,80,40,16.11,scattered clouds
146,Nishihara,JP,26.1842,127.7558,83.48,89,27,10.36,scattered clouds
147,Airai,TL,-8.9266,125.4092,55.67,91,91,2.84,overcast clouds
148,Lewisporte,CA,49.2499,-55.0482,74.91,61,86,8.12,overcast clouds
149,Georgetown,MY,5.4112,100.3354,83.89,90,20,2.3,few clouds
150,Hay River,CA,60.8156,-115.7999,64.38,59,40,16.11,scattered clouds
151,Duki,PK,30.1541,68.5728,78.39,72,89,0.38,light rain
152,Lagoa,PT,39.05,-27.9833,72.68,83,80,4.94,broken clouds
153,Alegrete,BR,-29.7831,-55.7919,74.23,75,100,8.14,light rain
154,Saskylakh,RU,71.9167,114.0833,47.1,78,100,9.51,overcast clouds
155,Joshimath,IN,30.5667,79.5667,71.29,95,100,2.04,overcast clouds
156,Anadyr,RU,64.75,177.4833,45.1,75,0,4.47,clear sky
157,Matay,EG,28.419,30.7792,90.82,21,1,16.04,clear sky
158,Wanning,CN,18.8003,110.3967,80.2,86,59,5.46,broken clouds
159,Brigantine,US,39.4101,-74.3646,97.2,70,20,11.5,few clouds
160,Sandwick,GB,60.0,-1.25,55.22,76,75,10.36,broken clouds
161,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,3.44,light rain
162,Rupert,US,42.6191,-113.6772,82.35,36,0,3.44,clear sky
163,College,US,64.8569,-147.8028,62.47,67,75,5.75,broken clouds
164,Souillac,MU,-20.5167,57.5167,70.18,73,40,14.97,light rain
165,Lakes Entrance,AU,-37.8811,147.981,37.17,89,2,8.03,clear sky
166,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,20,16.11,few clouds
167,Hit,IQ,33.6416,42.8251,99.1,14,0,11.3,clear sky
168,Biltine,TD,14.5333,20.9167,87.87,45,54,10.6,broken clouds
169,East London,ZA,-33.0153,27.9116,56.34,88,0,6.91,clear sky
170,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,70,60,1.36,broken clouds
171,Ilulissat,GL,69.2167,-51.1,49.12,75,100,8.88,overcast clouds
172,Deori Khas,IN,23.4,79.0167,77.81,89,100,5.73,moderate rain
173,Faanui,PF,-16.4833,-151.75,77.27,73,19,12.62,few clouds
174,Carutapera,BR,-1.195,-46.02,82.54,73,48,7.07,scattered clouds
175,Vilhena,BR,-12.7406,-60.1458,86.22,32,0,11.5,clear sky
176,Chokurdakh,RU,70.6333,147.9167,39.56,52,86,7.2,overcast clouds
177,Severo-Kurilsk,RU,50.6789,156.125,52.77,97,100,24.92,moderate rain
178,Kotido,UG,2.9806,34.1331,72.54,60,92,3.94,overcast clouds
179,Tynset,NO,62.2759,10.7824,58.21,76,95,9.73,overcast clouds
180,Cayenne,GF,4.9333,-52.3333,87.84,3,75,10.36,broken clouds
181,Vao,NC,-22.6667,167.4833,73.72,88,24,20.78,few clouds
182,Predivinsk,RU,57.0669,93.4378,57.6,92,95,2.84,overcast clouds
183,Meiganga,CM,6.5167,14.3,66.79,96,99,1.81,moderate rain
184,Yulara,AU,-25.2406,130.9889,49.78,39,4,8.66,clear sky
185,Maloh,PH,9.056,122.9851,81.25,82,100,8.95,overcast clouds
186,Ancud,CL,-41.8697,-73.8203,41.23,85,100,13.02,light rain
187,Beringovskiy,RU,63.05,179.3167,45.68,68,95,11.21,overcast clouds
188,Jiuquan,CN,39.7432,98.5174,68.56,25,12,8.21,few clouds
189,Wenatchee,US,47.4235,-120.3103,86.67,33,89,1.99,overcast clouds
190,Churapcha,RU,62.0025,132.4325,63.72,77,0,4.99,clear sky
191,Sorland,NO,67.667,12.6934,53.46,90,100,21.12,light rain
192,Basoko,CD,1.2391,23.616,74.21,87,93,2.93,moderate rain
193,Mar Del Plata,AR,-38.0023,-57.5575,53.94,53,0,14.0,clear sky
194,San Patricio,US,28.017,-97.5169,96.17,38,3,17.25,clear sky
195,Mus,TR,39.0,41.75,69.1,33,0,3.51,clear sky
196,Yellowknife,CA,62.456,-114.3525,64.92,48,20,6.91,few clouds
197,Saint George,US,37.1041,-113.5841,101.79,17,15,3.0,few clouds
198,Kakching,IN,24.4833,93.9833,72.59,96,100,1.68,overcast clouds
199,Katsuura,JP,35.1333,140.3,77.86,92,100,12.73,overcast clouds
200,Khandbari,NP,27.3747,87.2039,73.31,90,100,1.95,overcast clouds
201,Agadez,NE,19.75,10.25,95.97,14,9,3.18,clear sky
202,Pisco,PE,-13.7,-76.2167,66.02,77,75,6.91,broken clouds
203,Salalah,OM,17.0151,54.0924,76.73,93,89,8.75,light rain
204,Calbuco,CL,-41.768,-73.1273,42.01,86,100,14.18,light rain
205,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.99,27,100,9.71,overcast clouds
206,Castro,BR,-24.7911,-50.0119,71.91,54,6,7.02,clear sky
207,Komsomolskiy,UZ,40.4272,71.7189,86.72,39,0,4.61,clear sky
208,Shingu,JP,33.7333,135.9833,77.74,94,21,3.94,few clouds
209,Havoysund,NO,70.9963,24.6622,57.43,99,100,8.55,light rain
210,Axim,GH,4.8699,-2.2405,76.05,67,36,9.1,scattered clouds
211,Inyonga,TZ,-6.7167,32.0667,66.52,48,62,4.94,broken clouds
212,Genhe,CN,50.7833,121.5167,60.04,91,34,1.3,scattered clouds
213,Alexandria,EG,31.2156,29.9553,80.56,65,0,9.22,clear sky
214,Russell,US,32.3502,-85.1999,91.9,50,99,5.59,overcast clouds
215,Porto Novo,BJ,6.4965,2.6036,80.42,78,78,9.98,broken clouds
216,Thinadhoo,MV,0.5333,72.9333,82.35,69,97,12.17,overcast clouds
217,Kaitangata,NZ,-46.2817,169.8464,43.56,90,99,4.56,overcast clouds
218,Daru,PG,-9.0763,143.2092,76.01,91,70,9.82,broken clouds
219,Milkovo,RU,54.7167,158.6167,55.53,94,5,4.9,clear sky
220,Arroyo,ES,41.6096,-4.7969,98.15,17,0,9.22,clear sky
221,Nyurba,RU,63.2842,118.3319,54.36,96,99,4.29,overcast clouds
222,Samfya,ZM,-11.3649,29.5565,71.96,39,63,8.93,broken clouds
223,Honningsvag,NO,70.9821,25.9704,56.95,94,100,3.44,light rain
224,Tawang,IN,27.5833,91.8667,56.44,96,100,0.27,overcast clouds
225,Nanchang,CN,28.6833,115.8833,83.25,74,91,5.59,overcast clouds
226,Ossora,RU,59.2353,163.0719,54.41,69,5,4.5,clear sky
227,Alofi,NU,-19.0595,-169.9187,64.29,100,10,3.44,clear sky
228,Lorengau,PG,-2.0226,147.2712,80.76,77,99,7.54,overcast clouds
229,Kilindoni,TZ,-7.9139,39.6668,75.92,71,26,15.23,scattered clouds
230,Moncton,CA,46.1159,-64.8019,88.32,45,40,10.36,scattered clouds
231,Nushki,PK,29.5542,66.0215,94.14,25,33,9.22,scattered clouds
232,Acapulco,MX,16.8634,-99.8901,86.85,70,92,6.17,overcast clouds
233,Yeniseysk,RU,58.4497,92.1703,55.9,95,84,4.74,broken clouds
234,San Carlos,VE,9.6612,-68.5827,81.1,86,24,5.19,few clouds
235,Guerrero Negro,MX,27.9769,-114.0611,77.07,57,51,16.31,broken clouds
236,Loiza,PR,18.4313,-65.8802,80.67,94,75,9.22,broken clouds
237,Leningradskiy,RU,69.3833,178.4167,33.71,99,100,12.33,light snow
